Time,Temperature(C),Humidity
2021-01-13 00:10:21.331677,25.621337890625,25.59814453125
2021-01-13 00:10:26.630908,25.621337890625,25.59814453125
2021-01-13 00:10:31.931788,25.61126708984375,25.6103515625
2021-01-13 00:10:37.242638,25.6414794921875,25.59814453125
2021-01-13 00:10:42.550934,25.61126708984375,25.5126953125
2021-01-13 00:10:47.860404,25.59112548828125,25.5126953125
2021-01-13 00:10:53.168756,25.621337890625,25.59814453125
2021-01-13 00:10:58.478546,25.59112548828125,25.6103515625
2021-01-13 00:11:03.782667,25.61126708984375,25.6103515625
2021-01-13 00:11:09.091019,25.61126708984375,25.5126953125
2021-01-13 00:11:14.399829,25.61126708984375,25.5126953125
2021-01-13 00:11:19.708671,25.59112548828125,25.5126953125
2021-01-13 00:11:25.012670,25.57098388671875,25.5126953125
2021-01-13 00:11:30.330670,25.5609130859375,25.5126953125
2021-01-13 00:11:35.634303,25.5206298828125,25.6103515625
2021-01-13 00:11:40.939749,25.53070068359375,25.6103515625
2021-01-13 00:11:46.243801,25.53070068359375,25.7080078125
2021-01-13 00:11:51.549122,25.540771484375,25.7080078125
2021-01-13 00:11:56.852785,25.53070068359375,25.7080078125
2021-01-13 00:12:02.156784,25.540771484375,25.7080078125
2021-01-13 00:12:07.460638,25.53070068359375,25.6103515625
2021-01-13 00:12:12.764275,25.50048828125,25.6103515625
2021-01-13 00:12:18.069259,25.50048828125,25.6103515625
2021-01-13 00:12:23.373466,25.49041748046875,25.6103515625
2021-01-13 00:12:28.672292,25.49041748046875,25.6103515625
2021-01-13 00:12:33.976435,25.49041748046875,25.7080078125
2021-01-13 00:12:39.280158,25.47027587890625,25.7080078125
2021-01-13 00:12:44.578607,25.4400634765625,25.7080078125
2021-01-13 00:12:49.882099,25.47027587890625,25.7080078125
2021-01-13 00:12:55.185723,25.460205078125,25.7080078125
2021-01-13 00:13:00.489424,25.47027587890625,25.7080078125
2021-01-13 00:13:05.793392,25.47027587890625,25.7080078125
2021-01-13 00:13:11.096845,25.460205078125,25.7080078125
2021-01-13 00:13:16.400673,25.47027587890625,25.7080078125
2021-01-13 00:13:21.699175,25.460205078125,25.7080078125
2021-01-13 00:13:27.002953,25.42999267578125,25.7080078125
2021-01-13 00:13:32.306928,25.42999267578125,25.7080078125
2021-01-13 00:13:37.611647,25.4400634765625,25.811767578125
2021-01-13 00:13:42.917383,25.4400634765625,25.811767578125
2021-01-13 00:13:48.221926,25.4400634765625,25.811767578125
2021-01-13 00:13:53.527407,25.4400634765625,25.811767578125
2021-01-13 00:13:58.831571,25.460205078125,25.811767578125
2021-01-13 00:14:04.135143,25.4400634765625,25.811767578125
2021-01-13 00:14:09.439069,25.460205078125,25.811767578125
2021-01-13 00:14:14.742594,25.4400634765625,25.811767578125
2021-01-13 00:14:20.046707,25.4400634765625,25.811767578125
2021-01-13 00:14:25.350705,25.460205078125,25.811767578125
2021-01-13 00:14:30.652660,25.419921875,25.811767578125
2021-01-13 00:14:35.956612,25.419921875,25.811767578125
2021-01-13 00:14:41.261170,25.419921875,25.811767578125
2021-01-13 00:14:46.567135,25.419921875,25.811767578125
2021-01-13 00:14:51.871381,25.42999267578125,25.811767578125
2021-01-13 00:14:57.174784,25.419921875,25.811767578125
2021-01-13 00:15:02.480011,25.419921875,25.811767578125
